IDNasabah,Usia,JenisPekerjaan,PendapatanBulanan_juta,PendapatanTahunan_juta,SkorKredit,LamaMenjadiNasabah_tahun,RataSaldoTabungan_juta,JumlahProdukDimiliki,TotalTransaksiBulanan,RasioUtangTerhadapPendapatan,LimitKredit_juta
NSB00329,33,Karyawan,21.7,259.11,681,2,76.98,3,44,0.34,71.38
NSB00330,38,Profesional,18.73,224.63,666,2,65.54,4,44,0.415,69.99
NSB00331,23,Wiraswasta,6.16,74.34,565,1,21.38,3,31,0.289,10.02
NSB00332,23,Karyawan,10.08,122.33,694,7,23.17,6,30,0.27,43.74
NSB00333,46,PNS,6.49,77.62,626,20,15.23,1,39,0.215,36.57
NSB00334,64,Karyawan,27.5,328.98,690,6,58.7,3,55,0.236,98.2
NSB00335,47,Wiraswasta,13.2,158.6,596,3,32.2,2,14,0.327,34.77
NSB00336,23,PNS,9.06,108.93,715,4,19.74,3,45,0.195,42.25
NSB00337,47,Karyawan,8.8,105.05,640,0,7.41,3,19,0.191,31.23
NSB00338,27,Karyawan,13.92,165.49,704,1,2.93,5,51,0.324,39.25
NSB00339,52,PNS,9.23,110.87,646,12,20.9,4,22,0.277,39.59
NSB00340,42,Wiraswasta,23.39,282.17,614,2,61.16,3,67,0.262,79.39
NSB00341,37,Karyawan,6.48,78.2,548,3,19.61,2,42,0.244,19.97
NSB00342,31,PNS,5.52,66.24,664,13,15.68,1,36,0.207,30.65
NSB00343,29,Karyawan,21.83,263.41,724,5,34.38,2,48,0.26,79.89
NSB00344,36,Karyawan,8.4,100.73,646,0,25.34,2,16,0.259,20.98
NSB00345,41,Karyawan,21.94,261.8,617,4,21.85,3,32,0.402,60.99
NSB00346,46,PNS,16.57,198.73,627,6,17.28,3,55,0.364,47.96
NSB00347,52,Karyawan,5.17,62.29,589,1,14.86,4,39,0.222,20.36
NSB00348,64,Karyawan,7.64,91.72,626,4,31.76,3,38,0.215,21.9
NSB00349,23,Wiraswasta,10.76,128.82,663,1,23.86,1,20,0.324,16.39
NSB00350,63,Karyawan,9.35,112.22,665,13,4.55,2,25,0.29,35.54
NSB00351,46,Wiraswasta,12.27,147.43,706,14,50.1,4,35,0.425,45.08
NSB00352,25,Karyawan,7.63,91.61,658,6,16.98,3,38,0.193,14.65
NSB00353,60,PNS,10.03,120.5,589,8,12.78,2,45,0.334,26.99
NSB00354,59,PNS,17.65,212.11,662,7,55.05,3,63,0.174,70.33
NSB00355,34,PNS,20.97,252.71,593,2,65.47,3,43,0.364,71.8
NSB00356,29,PNS,6.95,83.44,664,15,3.12,1,29,0.322,27.83
NSB00357,35,Karyawan,9.29,111.41,649,2,23.04,2,23,0.38,24.09
NSB00358,57,Karyawan,9.82,118.01,607,10,29.29,2,8,0.297,32.78
NSB00359,62,Profesional,5.2,62.55,595,19,14.7,1,32,0.36,30.7
NSB00360,35,Wiraswasta,17.08,203.53,655,3,42.16,6,31,0.318,57.42
NSB00361,42,PNS,14.06,169.49,655,11,24.18,3,32,0.302,46.68
NSB00362,53,Wiraswasta,13.75,166.11,706,5,23.13,4,41,0.431,35.53
NSB00363,29,Wiraswasta,9.9,118.81,587,1,18.13,2,37,0.419,11.96
NSB00364,53,Wiraswasta,16.49,198.36,735,4,10.28,1,33,0.434,32.29
NSB00365,31,Karyawan,17.3,206.98,683,4,24.86,4,54,0.363,57.36
NSB00366,59,Karyawan,19.17,230.65,565,3,20.37,2,50,0.279,54.4
NSB00367,27,PNS,9.6,114.81,592,3,21.26,1,22,0.221,23.13
NSB00368,65,Karyawan,12.57,150.95,642,5,41.17,1,18,0.276,43.35
NSB00369,53,PNS,8.57,103.07,611,0,31.2,3,38,0.198,29.41
NSB00370,34,Karyawan,8.86,105.98,569,0,14.14,3,36,0.234,27.49
NSB00371,57,Wiraswasta,17.47,208.71,548,4,34.0,1,37,0.311,41.99
NSB00372,49,Wiraswasta,10.78,129.18,611,2,11.23,1,35,0.293,29.18
NSB00373,42,Karyawan,9.68,115.9,631,8,38.55,2,13,0.308,30.1
NSB00374,54,Karyawan,14.35,171.97,720,20,41.54,1,28,0.325,64.02
NSB00375,52,Wiraswasta,14.82,177.05,646,2,49.16,2,54,0.441,43.41
NSB00376,25,Karyawan,7.08,85.33,571,5,21.96,4,30,0.281,24.71
NSB00377,32,Wiraswasta,7.49,89.78,661,1,17.57,1,32,0.143,18.42
NSB00378,51,Karyawan,15.19,182.6,598,0,31.65,2,28,0.332,39.39
NSB00379,39,Karyawan,13.78,164.28,734,18,31.38,3,49,0.353,58.38
NSB00380,36,Karyawan,9.4,112.53,602,3,32.41,1,29,0.364,16.79
NSB00381,45,Profesional,19.53,235.85,612,1,55.32,1,26,0.542,59.02
NSB00382,29,Karyawan,9.96,119.1,623,1,11.8,2,50,0.164,25.01
NSB00383,65,Karyawan,4.0,48.05,650,0,9.3,2,3,0.221,14.18
NSB00384,46,Karyawan,6.93,83.85,673,15,1.87,2,19,0.326,33.15
NSB00385,22,Karyawan,4.87,58.44,566,9,6.13,1,34,0.356,15.09
NSB00386,42,Profesional,19.02,229.61,748,19,69.12,3,30,0.368,90.85
NSB00387,54,PNS,13.64,163.09,618,9,38.01,3,23,0.452,48.67
NSB00388,47,Karyawan,11.15,133.54,547,1,39.56,1,14,0.233,23.11
NSB00389,44,Karyawan,4.0,47.99,527,4,3.01,2,21,0.392,3.0
NSB00390,50,Karyawan,4.86,58.19,699,6,22.12,2,28,0.314,23.49
NSB00391,23,Karyawan,9.7,116.56,703,0,15.17,3,19,0.455,23.18
NSB00392,43,Profesional,4.15,49.44,600,7,7.21,2,31,0.247,22.12
NSB00393,39,Karyawan,17.11,204.44,639,7,74.87,4,48,0.296,62.68
NSB00394,61,Karyawan,9.94,119.9,617,0,7.82,6,50,0.269,28.19
NSB00395,47,Karyawan,9.73,116.81,590,13,7.8,1,16,0.244,37.97
NSB00396,29,Karyawan,10.15,122.03,631,1,10.37,3,39,0.435,23.21
NSB00397,59,PNS,6.4,77.31,673,10,19.98,2,18,0.353,35.71
NSB00398,34,Karyawan,6.1,72.69,595,2,16.9,2,27,0.423,6.15
NSB00399,65,Karyawan,4.0,47.43,648,9,14.04,2,29,0.444,13.82
NSB00400,37,Wiraswasta,10.61,128.22,599,0,28.7,1,48,0.291,25.96
NSB00401,59,PNS,12.95,154.54,682,0,52.83,4,52,0.384,43.97
NSB00402,56,Karyawan,9.27,111.27,592,8,32.31,1,36,0.414,19.18
NSB00403,53,Karyawan,9.05,107.89,595,1,22.79,2,47,0.388,11.55
NSB00404,50,Wiraswasta,6.43,76.37,694,1,21.07,1,16,0.452,10.77
NSB00405,22,Wiraswasta,11.95,143.35,649,5,44.17,3,28,0.364,33.65
NSB00406,31,Karyawan,4.0,48.09,779,13,3.12,1,24,0.128,29.67
NSB00407,60,PNS,5.9,70.56,655,1,14.98,1,37,0.435,12.05
NSB00408,54,Karyawan,7.45,88.48,685,2,19.23,2,36,0.086,29.42
NSB00409,42,Karyawan,8.05,96.71,652,0,2.45,1,30,0.388,17.83
NSB00410,55,PNS,11.74,141.94,585,1,21.95,1,47,0.439,19.16
NSB00411,50,Wiraswasta,9.49,113.08,709,13,3.69,1,34,0.185,36.9
NSB00412,55,Karyawan,11.37,136.84,574,2,26.83,4,40,0.175,40.93
NSB00413,45,Karyawan,20.04,240.72,553,1,10.05,4,42,0.351,58.38
NSB00414,25,Karyawan,21.4,254.87,718,18,71.58,1,48,0.39,92.7
NSB00415,39,PNS,14.68,176.85,693,3,21.36,1,22,0.33,38.44
NSB00416,31,Karyawan,20.07,240.99,708,0,25.97,4,53,0.183,63.61
NSB00417,59,Profesional,25.78,309.15,680,2,88.88,6,64,0.476,102.16
NSB00418,61,Wiraswasta,12.71,153.28,643,7,21.68,3,40,0.371,34.77
NSB00419,30,PNS,5.07,60.84,618,5,3.47,1,38,0.17,17.64
NSB00420,60,Karyawan,17.69,213.35,680,5,11.27,5,67,0.399,51.68
NSB00421,36,Karyawan,6.25,75.78,668,0,15.98,2,19,0.052,32.99
NSB00422,31,Karyawan,27.61,331.58,666,3,88.95,3,56,0.366,106.05
NSB00423,33,Wiraswasta,25.71,309.04,707,7,13.78,5,45,0.123,104.17
NSB00424,46,Profesional,8.01,95.89,701,7,29.71,2,34,0.365,35.9
NSB00425,32,Karyawan,5.92,71.47,687,3,11.31,1,22,0.346,24.4
NSB00426,33,Karyawan,7.33,87.52,682,1,17.73,1,21,0.435,12.19
NSB00427,52,Karyawan,10.14,121.43,669,1,3.99,5,38,0.336,37.85
NSB00428,40,Wiraswasta,20.41,244.86,745,3,61.63,1,44,0.268,62.46
NSB00429,52,Karyawan,5.52,66.19,572,3,17.93,2,30,0.185,16.89
NSB00430,22,Karyawan,16.59,198.51,741,5,19.79,3,39,0.212,59.22
NSB00431,26,Karyawan,4.0,48.17,612,0,7.08,2,41,0.409,3.0
NSB00432,34,Karyawan,19.71,236.23,591,12,57.49,1,49,0.327,76.08
NSB00433,37,Karyawan,10.15,120.75,630,1,34.94,1,31,0.369,25.75
NSB00434,33,Karyawan,11.63,140.21,647,2,30.64,2,17,0.339,33.44
NSB00435,39,Wiraswasta,9.92,119.86,547,0,23.41,5,14,0.2,29.69
NSB00436,62,PNS,17.06,204.26,645,3,19.92,4,40,0.328,56.75
NSB00437,42,PNS,12.72,153.47,505,0,13.55,3,44,0.264,39.44
NSB00438,47,Wiraswasta,25.22,301.99,747,1,25.23,1,29,0.116,94.66
NSB00439,56,Karyawan,4.16,49.72,603,3,6.95,2,41,0.392,5.12
NSB00440,29,PNS,6.55,78.31,631,6,18.33,2,19,0.256,26.32
NSB00441,28,Wiraswasta,5.21,62.93,678,5,14.3,2,43,0.276,17.14
NSB00442,40,Karyawan,15.23,183.76,640,3,53.85,3,53,0.372,50.42
NSB00443,49,PNS,4.36,52.47,549,3,2.76,1,34,0.286,8.03
NSB00444,43,Wiraswasta,37.12,443.64,571,1,81.33,3,48,0.295,139.2
NSB00445,27,Wiraswasta,11.0,132.42,670,4,41.13,2,50,0.478,29.82
NSB00446,50,Karyawan,19.79,236.45,711,9,27.42,3,41,0.34,74.47
NSB00447,62,Karyawan,6.34,76.27,589,0,13.58,1,24,0.407,8.29
NSB00448,45,Profesional,11.61,139.02,546,11,21.45,2,33,0.037,52.64
NSB00449,61,Karyawan,14.51,173.72,683,12,53.93,1,17,0.314,54.18
NSB00450,40,Karyawan,7.26,86.94,662,16,21.72,2,38,0.359,32.31
NSB00451,39,Wiraswasta,9.31,110.79,656,1,30.61,2,45,0.275,28.09
NSB00452,35,PNS,23.57,280.85,609,2,87.97,3,56,0.445,79.5
NSB00453,44,Karyawan,20.26,242.97,528,1,32.44,2,37,0.204,66.06
NSB00454,47,Karyawan,14.17,169.31,616,6,11.71,2,28,0.364,37.43
NSB00455,26,PNS,29.23,351.91,701,0,98.7,5,50,0.283,113.94
NSB00456,64,Wiraswasta,4.0,48.23,668,1,9.18,2,44,0.169,18.26
NSB00457,28,Karyawan,12.2,145.49,626,7,33.95,2,46,0.306,31.59
NSB00458,46,Karyawan,8.6,102.58,619,11,16.12,2,29,0.272,35.77
NSB00459,35,PNS,21.98,263.58,578,11,71.56,5,45,0.386,82.96
NSB00460,61,Karyawan,18.67,225.78,748,15,68.77,2,25,0.295,76.7
NSB00461,50,Karyawan,19.26,230.39,614,0,53.83,3,39,0.415,52.48
NSB00462,22,Karyawan,7.69,92.46,576,0,17.28,2,24,0.215,12.63
NSB00463,23,Karyawan,14.04,167.36,603,8,19.81,4,56,0.278,38.77
NSB00464,30,Karyawan,18.39,219.87,618,1,61.45,3,24,0.099,66.9
NSB00465,58,Karyawan,20.59,247.55,664,0,17.04,1,37,0.382,57.28
NSB00466,60,PNS,6.48,77.68,613,7,18.33,1,44,0.115,25.93
NSB00467,46,Karyawan,7.35,88.37,689,0,15.7,2,30,0.444,18.91
NSB00468,47,Karyawan,11.91,142.98,695,12,8.19,1,27,0.306,35.97
NSB00469,50,Karyawan,21.66,259.89,738,25,19.03,1,19,0.227,94.24
NSB00470,43,PNS,14.48,173.72,715,5,36.16,3,49,0.366,49.59
NSB00471,44,Karyawan,21.44,258.67,585,3,68.59,1,36,0.33,62.99
NSB00472,38,PNS,4.0,47.98,661,15,4.8,3,22,0.118,29.84
NSB00473,43,Karyawan,9.1,109.57,668,2,27.97,1,38,0.382,27.35
NSB00474,34,Wiraswasta,13.59,162.89,696,8,13.95,1,31,0.506,29.69
NSB00475,54,Wiraswasta,12.06,144.76,628,9,7.28,3,21,0.125,34.48
NSB00476,51,Karyawan,4.0,47.79,542,0,8.82,1,29,0.326,3.0
NSB00477,53,Wiraswasta,18.59,221.18,562,9,18.12,3,52,0.442,42.5
NSB00478,38,Wiraswasta,12.55,150.33,676,8,19.58,4,33,0.273,41.66
NSB00479,39,PNS,8.23,98.79,621,3,10.97,2,51,0.111,38.45
NSB00480,41,Wiraswasta,19.55,234.12,659,10,77.78,1,24,0.314,72.19
NSB00481,48,Wiraswasta,4.27,51.34,621,1,2.1,1,47,0.391,3.0
NSB00482,56,Profesional,8.04,96.16,634,7,5.34,1,23,0.217,30.69
NSB00483,22,Profesional,16.6,198.06,608,1,55.36,5,70,0.061,77.05
NSB00484,63,Profesional,12.75,152.07,685,6,10.24,1,33,0.111,55.74
NSB00485,59,Karyawan,9.33,112.23,560,5,15.72,1,26,0.164,32.59
NSB00486,65,PNS,9.68,115.75,564,2,3.22,1,18,0.396,10.42
NSB00487,34,Wiraswasta,9.29,111.46,562,5,31.36,2,26,0.23,27.78
NSB00488,43,Karyawan,16.46,196.36,647,11,29.69,2,21,0.273,63.73
NSB00489,46,Karyawan,8.95,107.0,655,1,7.24,2,24,0.346,14.71
NSB00490,28,Wiraswasta,14.92,178.98,588,0,48.02,1,47,0.095,46.04
NSB00491,37,Karyawan,4.0,48.2,616,0,19.03,2,19,0.274,8.76
NSB00492,23,Karyawan,19.87,237.36,724,11,37.4,2,54,0.259,72.74
NSB00493,27,Karyawan,37.32,445.12,799,9,35.37,3,55,0.305,151.28
NSB00494,43,Karyawan,13.6,163.15,680,2,19.87,1,33,0.29,35.23
NSB00495,35,PNS,10.02,120.28,611,6,22.31,1,30,0.241,29.5
NSB00496,25,Wiraswasta,7.94,95.09,552,6,24.26,2,22,0.246,21.1
NSB00497,58,Karyawan,15.09,181.91,505,4,42.77,3,50,0.3,45.52
NSB00498,27,Karyawan,7.48,89.12,655,24,5.95,1,22,0.226,38.72
NSB00499,32,Profesional,6.85,81.9,620,0,7.48,1,19,0.452,12.36
NSB00500,32,Karyawan,4.0,47.99,585,0,9.41,2,42,0.425,3.0
NSB00501,44,Profesional,11.9,142.25,740,3,34.88,2,28,0.357,49.66
NSB00502,65,Wiraswasta,9.01,108.23,557,3,31.0,3,21,0.278,22.67
NSB00503,23,Wiraswasta,9.27,111.21,592,2,17.01,2,26,0.28,17.22
NSB00504,29,Wiraswasta,10.47,125.47,517,7,42.57,2,40,0.392,9.37
NSB00505,36,Wiraswasta,7.26,87.93,753,25,28.38,2,25,0.314,46.78
NSB00506,26,Wiraswasta,11.56,138.12,590,0,44.53,2,36,0.218,26.43
NSB00507,22,Profesional,5.98,71.66,519,2,3.73,2,36,0.336,18.41
NSB00508,62,Wiraswasta,9.87,118.63,617,2,19.75,2,42,0.343,15.89
NSB00509,31,Wiraswasta,9.06,108.36,701,1,27.32,1,45,0.34,11.59
NSB00510,49,Karyawan,4.31,51.73,717,0,7.79,2,41,0.203,22.43
NSB00511,60,Karyawan,5.58,67.17,603,2,12.25,1,29,0.192,16.99
NSB00512,54,Karyawan,7.71,92.57,707,19,7.55,2,22,0.238,29.6
NSB00513,23,Karyawan,7.83,94.21,592,0,28.36,2,29,0.202,31.86
NSB00514,37,PNS,12.0,143.74,627,5,25.06,2,21,0.171,39.15
NSB00515,24,Karyawan,8.49,101.74,612,8,7.61,2,25,0.383,8.65
NSB00516,63,PNS,10.21,123.42,712,2,2.52,2,41,0.266,42.73
NSB00517,42,Karyawan,8.48,101.92,584,2,25.7,2,33,0.273,17.94
NSB00518,64,Karyawan,4.0,48.17,515,6,2.78,2,21,0.291,3.0
NSB00519,39,Karyawan,9.83,117.61,567,3,28.5,1,31,0.092,32.63
NSB00520,46,PNS,6.77,81.14,598,6,7.7,1,16,0.357,17.23
NSB00521,24,PNS,9.65,116.3,638,3,8.58,2,42,0.276,25.16
NSB00522,65,Wiraswasta,7.04,84.49,607,8,12.59,2,29,0.193,27.21
NSB00523,59,Profesional,14.75,176.07,649,3,23.42,2,56,0.261,51.61
NSB00524,44,PNS,10.24,122.4,656,8,17.07,3,23,0.385,43.6
NSB00525,32,Profesional,15.15,181.7,610,0,31.07,1,23,0.281,46.78
NSB00526,41,Profesional,15.74,190.01,671,1,40.61,1,28,0.439,42.67
NSB00527,41,Profesional,7.81,93.89,577,4,12.14,1,29,0.433,21.24
NSB00528,56,Wiraswasta,16.02,191.6,591,5,23.98,1,34,0.457,34.55
NSB00529,35,Karyawan,11.81,141.67,684,3,47.63,3,35,0.351,39.75
NSB00530,50,Wiraswasta,6.05,72.6,621,2,14.73,1,38,0.371,6.0
NSB00531,57,Profesional,9.87,117.61,473,4,5.89,1,35,0.123,37.49
NSB00532,30,Karyawan,11.01,132.07,603,2,17.62,2,18,0.256,34.44
NSB00533,56,Wiraswasta,20.29,243.07,704,11,30.14,2,40,0.399,65.27
NSB00534,44,Karyawan,8.75,104.91,722,8,27.53,2,14,0.348,33.09
NSB00535,30,Karyawan,23.73,283.66,690,2,12.5,2,62,0.081,79.68
NSB00536,22,Karyawan,15.65,188.03,664,5,56.01,1,25,0.274,46.47
NSB00537,60,PNS,4.0,47.91,676,4,4.99,4,38,0.245,18.71
NSB00538,60,Wiraswasta,6.12,73.19,688,7,8.77,2,24,0.331,17.35
NSB00539,24,Karyawan,14.23,171.98,691,0,26.67,1,27,0.248,38.87
NSB00540,45,PNS,4.92,58.94,547,0,14.55,1,6,0.263,9.08
NSB00541,26,Profesional,13.43,160.24,637,5,32.38,3,34,0.302,57.16
NSB00542,24,Karyawan,21.52,259.43,569,3,36.25,4,45,0.284,56.5
NSB00543,24,PNS,9.12,110.03,688,4,29.4,1,32,0.335,24.73
NSB00544,63,Profesional,21.8,260.52,624,6,64.95,3,58,0.182,86.24
NSB00545,44,Karyawan,20.87,249.94,592,2,42.12,2,57,0.312,60.09
NSB00546,65,Karyawan,10.18,122.04,731,4,28.1,2,60,0.332,35.11
NSB00547,55,Wiraswasta,10.31,123.49,561,0,36.87,1,9,0.188,26.0
NSB00548,54,Karyawan,11.52,137.44,606,2,34.17,3,60,0.289,35.63
NSB00549,26,Profesional,13.21,157.79,631,2,17.8,2,40,0.413,35.91
NSB00550,40,Karyawan,4.67,56.5,607,3,17.41,1,31,0.333,19.19
NSB00551,46,Karyawan,9.72,116.32,713,11,31.12,4,35,0.333,37.21
NSB00552,48,Karyawan,4.39,52.55,641,0,0.1,2,28,0.187,8.0
NSB00553,28,Karyawan,8.76,105.41,607,15,24.98,2,38,0.443,32.49
NSB00554,22,Profesional,9.35,111.95,682,7,29.16,3,39,0.197,46.22
NSB00555,48,PNS,4.08,48.81,597,2,10.84,3,20,0.3,9.58
NSB00556,26,PNS,5.44,64.99,585,2,6.68,3,23,0.238,19.09
NSB00557,63,Wiraswasta,8.52,102.43,663,5,3.01,1,18,0.276,20.53
NSB00558,36,PNS,32.25,387.19,692,2,93.75,5,52,0.428,120.72
NSB00559,62,Wiraswasta,5.1,61.46,637,7,9.73,2,15,0.376,9.95
NSB00560,40,Karyawan,11.19,134.01,574,0,31.74,2,23,0.352,27.84
NSB00561,40,Profesional,6.59,79.47,616,0,26.64,3,44,0.369,19.38
NSB00562,55,Karyawan,8.63,103.59,570,7,15.51,3,42,0.454,28.34
NSB00563,61,PNS,17.5,209.49,674,0,17.19,3,37,0.058,58.53
NSB00564,29,Wiraswasta,12.32,148.06,613,2,15.07,3,28,0.146,32.74
NSB00565,41,Karyawan,13.08,157.13,637,6,48.77,3,21,0.29,51.62
NSB00566,27,Karyawan,13.52,162.37,738,25,6.83,2,33,0.13,71.62
NSB00567,52,Karyawan,14.14,169.12,627,4,56.08,1,11,0.385,37.5
NSB00568,52,Karyawan,4.0,47.97,638,2,7.08,2,34,0.265,17.27
NSB00569,28,Wiraswasta,12.82,153.67,593,3,36.65,1,31,0.321,25.84
NSB00570,61,Karyawan,10.03,120.68,654,7,20.88,6,34,0.326,43.71
NSB00571,65,Karyawan,12.89,155.43,674,0,31.22,4,24,0.349,37.09
NSB00572,60,Karyawan,16.2,194.99,533,1,8.76,2,27,0.367,30.11
NSB00573,57,PNS,13.02,156.66,620,7,38.28,1,42,0.202,37.91
NSB00574,54,Wiraswasta,15.01,180.86,639,2,42.91,2,44,0.208,47.78
NSB00575,34,Karyawan,5.7,68.72,609,3,13.85,3,33,0.284,13.12
NSB00576,65,Wiraswasta,13.23,158.47,688,13,13.32,1,35,0.297,54.22
NSB00577,35,Karyawan,9.91,118.33,692,4,29.01,2,35,0.244,39.47
NSB00578,44,Profesional,10.02,120.28,625,1,15.9,2,39,0.169,35.53
NSB00579,52,PNS,20.62,248.86,682,6,54.48,2,25,0.139,77.92
NSB00580,56,PNS,8.13,97.04,639,1,13.87,4,38,0.308,35.33
NSB00581,36,Karyawan,7.41,88.55,685,6,18.44,2,27,0.541,21.95
NSB00582,40,PNS,5.3,63.6,664,5,7.31,2,32,0.427,16.88
NSB00583,42,Wiraswasta,8.99,107.61,704,2,14.88,2,25,0.296,19.2
NSB00584,37,Profesional,18.3,220.41,742,16,24.06,1,32,0.638,62.67
NSB00585,36,PNS,4.41,52.92,646,24,0.1,2,30,0.191,29.75
NSB00586,62,PNS,11.95,143.84,645,3,28.22,4,47,0.224,42.49
NSB00587,32,Wiraswasta,4.0,48.04,659,0,6.77,1,15,0.244,13.92
NSB00588,40,Karyawan,7.32,87.96,656,12,10.05,2,35,0.329,23.58
NSB00589,28,Karyawan,13.16,157.13,473,0,8.73,2,32,0.472,10.56
NSB00590,54,Profesional,7.92,94.77,718,2,26.27,2,20,0.204,32.37
NSB00591,57,Profesional,5.61,66.77,661,9,6.1,2,31,0.329,18.26
NSB00592,43,Karyawan,8.66,103.57,635,1,32.06,1,20,0.508,12.13
NSB00593,24,PNS,17.54,209.96,675,8,38.91,2,26,0.094,68.51
NSB00594,26,Wiraswasta,22.78,273.66,600,0,47.03,4,66,0.349,71.07
NSB00595,33,Wiraswasta,23.02,274.89,646,0,78.22,1,43,0.281,78.36
NSB00596,27,Karyawan,14.95,180.62,612,1,15.38,2,25,0.362,29.7
NSB00597,31,Karyawan,12.65,152.5,588,3,21.28,1,40,0.126,42.09
NSB00598,44,Profesional,17.51,209.21,651,3,25.44,2,41,0.439,64.61
NSB00599,47,PNS,5.75,68.47,641,3,11.12,2,33,0.238,19.54
NSB00600,53,Karyawan,6.33,75.45,678,2,25.87,2,30,0.358,21.3
NSB00601,63,Karyawan,20.52,246.48,716,20,69.29,6,39,0.32,98.49
NSB00602,54,Karyawan,16.37,195.42,627,1,17.18,2,21,0.244,44.99
NSB00603,42,PNS,16.53,198.08,697,11,38.87,1,34,0.403,49.21
NSB00604,36,Wiraswasta,11.77,141.52,684,1,36.06,2,17,0.139,38.68
NSB00605,60,PNS,6.83,82.07,709,14,18.37,1,21,0.089,33.62
NSB00606,22,PNS,5.98,71.95,638,13,17.09,2,9,0.221,33.99
NSB00607,54,Profesional,17.08,203.85,648,3,16.8,4,38,0.18,61.69
NSB00608,45,Karyawan,18.41,221.44,627,2,50.45,5,48,0.214,69.27
NSB00609,43,Profesional,5.86,70.5,732,1,5.09,2,25,0.36,19.64
NSB00610,30,Profesional,7.14,85.98,672,1,5.18,1,32,0.272,23.17
NSB00611,34,Karyawan,9.94,119.64,762,25,13.06,2,32,0.319,52.14
NSB00612,36,Wiraswasta,16.52,197.18,603,8,24.71,3,45,0.323,44.26
NSB00613,23,Karyawan,8.78,104.3,638,0,27.63,2,34,0.39,17.05
NSB00614,46,Wiraswasta,6.73,80.86,721,10,21.01,1,33,0.331,16.13
NSB00615,47,Karyawan,17.53,211.65,594,9,70.69,1,30,0.26,63.24
NSB00616,39,Wiraswasta,14.3,171.03,633,3,25.64,3,46,0.212,48.8
NSB00617,61,Karyawan,7.31,87.42,537,9,10.03,2,29,0.172,32.19
NSB00618,42,Karyawan,7.44,89.32,789,3,19.18,2,32,0.331,21.84
NSB00619,25,Wiraswasta,18.68,225.08,678,9,56.37,3,42,0.336,64.23
NSB00620,24,Wiraswasta,5.39,64.85,590,2,13.43,3,27,0.156,21.53
NSB00621,38,Karyawan,9.0,107.46,731,21,24.21,2,36,0.181,51.77
NSB00622,30,Profesional,13.25,158.69,612,2,31.38,1,14,0.405,40.51
NSB00623,59,Karyawan,11.42,136.7,663,1,46.45,2,21,0.247,41.5
NSB00624,59,PNS,17.0,204.42,619,3,11.96,3,22,0.322,51.22
NSB00625,64,Karyawan,4.31,51.86,676,1,14.58,2,34,0.214,16.22
NSB00626,44,Profesional,10.58,126.48,616,10,17.01,2,27,0.27,46.13
NSB00627,43,Profesional,12.26,146.61,643,3,33.79,2,38,0.123,48.82
NSB00628,60,Wiraswasta,12.47,149.78,604,11,41.07,3,56,0.454,32.1
NSB00629,49,Profesional,14.15,169.61,660,7,45.43,2,43,0.032,67.21
NSB00630,59,Karyawan,5.72,68.41,610,1,1.7,3,8,0.394,9.77
NSB00631,30,PNS,22.23,266.22,580,1,86.26,2,30,0.131,79.19
NSB00632,30,Wiraswasta,13.28,159.71,742,5,34.09,1,42,0.289,46.96
NSB00633,24,Karyawan,14.03,168.09,622,1,6.85,1,31,0.348,21.52
NSB00634,39,Wiraswasta,7.77,93.18,647,10,8.91,1,38,0.168,32.29
NSB00635,56,Karyawan,11.52,137.78,679,1,22.84,2,54,0.266,39.18
NSB00636,45,Wiraswasta,20.94,251.82,597,2,19.83,4,38,0.223,67.93
NSB00637,46,PNS,10.4,124.51,605,14,11.61,2,58,0.311,42.83
NSB00638,26,Karyawan,11.61,139.44,603,5,38.87,1,28,0.236,36.75
NSB00639,27,Wiraswasta,12.36,148.39,691,2,11.26,1,30,0.088,36.07
NSB00640,25,PNS,4.49,53.79,560,1,16.81,2,36,0.353,21.35
NSB00641,38,Wiraswasta,9.59,114.67,772,3,27.15,1,68,0.444,31.78
NSB00642,59,Karyawan,15.03,180.27,672,9,20.31,2,36,0.475,42.53
NSB00643,54,Wiraswasta,8.13,97.42,678,13,35.56,2,49,0.453,25.91
NSB00644,58,PNS,10.26,123.59,667,6,9.52,3,46,0.312,34.88
NSB00645,35,Karyawan,10.31,123.28,588,0,0.43,3,36,0.28,24.52
NSB00646,38,Wiraswasta,4.61,55.48,628,6,18.19,1,30,0.272,24.2
NSB00647,64,Profesional,15.93,192.05,673,24,27.27,1,24,0.406,70.6
NSB00648,53,Karyawan,5.19,62.43,650,14,18.13,1,22,0.232,23.9
NSB00649,52,PNS,13.06,157.16,657,14,35.01,2,19,0.146,57.19
NSB00650,44,PNS,9.78,117.22,718,6,27.22,1,38,0.199,40.07
NSB00651,26,Karyawan,8.78,105.53,688,19,14.35,3,22,0.318,37.09
NSB00652,54,PNS,10.86,130.54,625,0,16.0,2,32,0.33,25.17
NSB00653,38,Karyawan,15.52,185.01,634,3,34.73,1,16,0.396,41.79
NSB00654,35,Karyawan,16.01,191.84,597,1,40.3,3,30,0.242,47.25
NSB00655,53,Wiraswasta,8.38,100.06,571,1,23.57,3,15,0.281,10.17
NSB00656,42,Karyawan,9.63,114.69,634,8,22.68,2,31,0.371,36.1
NSB00657,29,Profesional,6.71,80.5,690,2,16.09,2,20,0.319,24.16
NSB00658,61,Profesional,4.9,58.9,639,0,17.68,1,22,0.294,21.17
