IDCabang,KategoriKota,Wilayah,JumlahNasabahAktif,JumlahTeller,JumlahPegawai,JumlahATM,LuasCabang_m2,UmurCabang_tahun,JamOperasionalPerHari,TransaksiHarian,TransaksiBulanan,SkorKepuasanNasabah,KodeInternal,BiayaOperasional_jutaPerBulan
CBG00181,Kota Besar,Sulawesi,6357,10,30,5,304.0,14,9.5,462,10077,4.49,5274,293.41
CBG01544,Kota Kecil,Kalimantan,5381,5,15,5,358.0,34,7.5,447,9798,,1040,257.46
CBG00774,Kota Besar,Sumatera,6983,7,22,4,469.0,23,8.5,483,10685,5.0,8397,298.86
CBG00588,Metro,Jawa Barat,11214,12,29,5,406.0,34,7.5,737,16309,4.12,4964,383.84
CBG00644,Kota Kecil,Sumatera,3293,6,19,2,217.0,5,8.3,204,4445,3.84,3638,177.58
CBG02621,Kota Kecil,Jawa Barat,2434,4,12,2,144.0,27,6.9,141,3087,4.95,2095,148.04
CBG02337,Metro,Kalimantan,9989,10,32,6,418.0,6,7.6,611,13386,4.35,3454,355.88
CBG01733,Kota Besar,Sumatera,3614,7,25,2,214.0,13,7.9,309,6808,4.18,3205,215.41
CBG00872,Metro,Indonesia Timur,7253,7,21,5,494.0,25,7.2,454,9942,3.95,7398,330.83
CBG02088,Kota Besar,Jawa Timur,3477,3,8,2,,13,6.7,285,6330,4.61,5145,175.6
CBG02563,Kota Besar,Sumatera,3452,5,15,4,329.0,43,7.4,198,4368,3.97,9813,206.69
CBG02813,Kota Kecil,Sumatera,3678,6,17,2,245.0,5,8.2,318,7023,5.0,5335,186.2
CBG00376,Metro,Jawa Barat,9927,10,24,8,637.0,9,7.8,626,13744,4.77,8170,362.71
CBG00387,Metro,Jawa Tengah,8179,8,22,5,449.0,29,7.8,598,13088,4.54,2157,321.12
CBG01531,Kota Kecil,Sulawesi,4951,7,19,5,398.0,36,7.9,286,6245,4.55,5011,249.46
CBG02866,Kota Kecil,Jawa Timur,3006,4,11,2,299.0,6,7.2,304,6698,3.63,7332,158.59
CBG01074,Kota Kecil,Indonesia Timur,2599,5,17,5,244.0,13,8.2,279,6167,3.98,4495,195.04
CBG02800,Metro,Sulawesi,5107,4,15,3,335.0,13,8.0,394,8742,3.61,7810,250.48
CBG01449,Kota Kecil,Sulawesi,7515,10,25,4,390.0,31,8.1,577,12740,5.0,3331,309.11
CBG00152,Metro,Kalimantan,8948,11,27,6,437.0,5,8.5,542,11881,3.69,2431,347.99
CBG00934,Metro,Jawa Timur,7130,5,20,3,484.0,8,7.6,458,10068,3.94,1420,296.89
CBG01039,Kota Besar,Jawa Barat,5947,7,20,4,439.0,24,8.5,460,10121,4.47,7701,281.49
CBG00424,Kota Besar,Sumatera,3701,3,11,3,199.0,34,9.1,320,7053,4.57,2917,208.95
CBG01741,Metro,Jawa Tengah,7145,7,17,3,440.0,24,8.5,465,10304,4.14,4734,306.06
CBG02154,Kota Besar,Indonesia Timur,3781,5,15,3,271.0,40,8.4,359,7882,3.96,1427,231.43
CBG00475,Kota Besar,Sumatera,5514,8,27,2,313.0,18,7.9,423,9350,3.71,8256,259.84
CBG01211,Kota Besar,Sulawesi,5272,5,18,2,,32,9.3,331,7285,4.79,1348,252.34
CBG00341,Kota Besar,Jawa Timur,6657,7,19,5,362.0,3,8.1,442,9756,4.46,8701,269.9
CBG01671,Kota Kecil,Jawa Timur,4399,5,16,5,313.0,28,7.5,274,6093,3.25,3633,229.84
CBG02308,Metro,Jawa Timur,7223,8,21,3,417.0,26,7.2,518,11456,4.22,7255,312.04
CBG02206,Kota Besar,Jawa Timur,3931,6,17,1,214.0,39,9.3,277,6030,4.02,2814,235.13
CBG01378,Kota Kecil,Sumatera,7475,6,14,4,375.0,39,7.4,575,12637,4.15,4161,279.05
CBG00143,Kota Besar,Jawa Barat,3036,5,13,1,254.0,16,7.0,291,6364,4.56,9340,180.46
CBG01160,Metro,Kalimantan,7165,5,17,4,458.0,34,7.0,486,10718,4.93,4789,338.89
CBG01460,Kota Kecil,Indonesia Timur,3193,2,11,4,247.0,4,7.6,277,6142,4.09,3895,175.27
CBG00100,Metro,Indonesia Timur,6212,6,21,4,503.0,35,7.6,429,9452,4.01,2884,323.96
CBG00427,Kota Besar,Kalimantan,6362,7,19,4,285.0,20,7.9,568,12413,4.04,2742,270.31
CBG01484,Metro,Sulawesi,12031,10,28,6,538.0,38,7.8,755,16560,3.54,4453,400.75
CBG01814,Metro,Kalimantan,12838,14,35,7,,20,8.8,754,16452,3.73,1515,415.14
CBG02716,Kota Besar,Jawa Timur,9863,9,24,4,473.0,17,8.6,668,14696,4.32,1584,335.05
CBG00735,Kota Besar,Jawa Barat,7061,7,18,4,497.0,40,7.9,541,11906,4.26,1372,304.79
CBG00803,Metro,Jawa Barat,9176,8,21,6,505.0,29,9.2,570,12572,3.63,6136,358.05
CBG02461,Metro,Jawa Barat,8051,7,19,5,462.0,16,8.1,522,11485,3.6,7536,335.58
CBG02824,Metro,Kalimantan,8634,9,28,5,568.0,24,7.4,596,13134,2.76,8833,351.09
CBG02962,Metro,Jawa Tengah,8591,8,20,8,495.0,20,8.5,536,11725,4.63,4026,334.96
CBG00808,Kota Besar,Sulawesi,5189,5,14,3,321.0,14,7.3,401,8808,4.55,2905,239.72
CBG02269,Kota Besar,Jawa Tengah,4984,6,14,4,361.0,14,7.4,362,7939,3.57,1934,233.6
CBG00753,Kota Besar,Sumatera,6252,8,19,2,266.0,39,8.6,420,9287,4.63,2443,281.76
CBG00455,Metro,Jawa Barat,6194,8,22,4,231.0,25,8.3,354,7855,,3663,291.11
CBG00833,Kota Kecil,Sumatera,4806,7,23,3,343.0,15,8.0,342,7544,3.67,3552,221.93
CBG00037,Kota Besar,Kalimantan,5572,5,15,3,278.0,29,8.8,447,9888,4.06,8602,256.44
CBG01745,Kota Kecil,Sumatera,3651,3,11,3,208.0,14,9.3,297,6578,4.69,1221,184.2
CBG01828,Kota Besar,Jawa Timur,8121,8,20,5,540.0,40,6.6,472,10346,3.89,5883,308.57
CBG01071,Kota Besar,Jawa Barat,5678,4,16,3,347.0,33,8.5,353,7719,4.39,4058,267.21
CBG00306,Metro,Jawa Timur,7224,8,21,4,441.0,37,7.7,413,9108,3.76,7966,340.64
CBG02120,Kota Kecil,Kalimantan,4696,6,19,2,361.0,36,9.2,405,8893,4.05,8695,240.43
CBG01145,Kota Kecil,Jawa Barat,3314,7,17,1,310.0,10,7.8,197,4338,3.57,1093,198.74
CBG00747,Kota Kecil,Kalimantan,5611,6,18,4,426.0,45,7.0,424,9342,3.79,6049,270.62
CBG01692,Metro,Jawa Barat,8330,8,23,5,489.0,13,7.6,559,12369,3.81,7627,330.26
CBG02075,Kota Kecil,Jawa Barat,5689,6,20,2,417.0,22,7.1,324,7075,3.87,8288,241.42
CBG01633,Metro,Jawa Barat,12101,11,28,8,673.0,44,7.9,733,16168,,5770,416.31
CBG02894,Kota Kecil,Indonesia Timur,4570,7,21,3,,18,8.8,311,6864,3.8,2444,252.91
CBG02571,Kota Besar,Sulawesi,3436,6,15,4,187.0,37,9.2,199,4348,4.32,6943,215.18
CBG01239,Kota Kecil,Sumatera,6054,8,23,2,,36,8.5,392,8622,4.44,4433,285.65
CBG00620,Kota Kecil,Jawa Tengah,1549,3,11,1,236.0,25,7.1,46,1010,4.15,2374,131.81
CBG02231,Kota Besar,Jawa Tengah,5238,7,23,4,,44,8.0,382,8330,3.47,6455,273.7
CBG00581,Kota Besar,Sulawesi,8115,6,17,4,,37,6.7,570,12569,3.79,6838,298.8
CBG01082,Kota Kecil,Sulawesi,881,2,7,1,,35,7.7,112,2465,4.15,9736,119.05
CBG02147,Kota Kecil,Jawa Tengah,3223,3,13,2,346.0,12,8.7,198,4380,3.09,8571,181.74
CBG00072,Metro,Sumatera,5910,6,19,3,320.0,36,9.2,387,8506,4.16,6658,287.91
CBG01062,Metro,Jawa Barat,7348,7,22,3,528.0,22,9.3,456,10077,3.53,2983,317.65
CBG02900,Kota Kecil,Jawa Timur,5511,8,21,3,418.0,13,8.3,382,8382,3.39,2845,243.85
CBG01917,Kota Kecil,Sumatera,1512,2,11,2,237.0,8,6.9,137,3017,3.61,9349,139.12
CBG02171,Kota Kecil,Jawa Tengah,1955,4,10,2,265.0,13,7.6,189,4129,3.74,5907,134.11
CBG01749,Kota Kecil,Sulawesi,5064,7,22,2,432.0,31,6.4,350,7756,4.6,6706,254.6
CBG00717,Kota Besar,Jawa Tengah,9147,8,23,6,433.0,15,6.0,637,14110,4.05,7955,372.3
CBG01658,Kota Kecil,Kalimantan,6594,7,22,4,321.0,9,8.3,467,10322,3.87,7233,261.2
CBG00770,Kota Kecil,Kalimantan,9141,9,24,3,655.0,15,8.2,643,14075,3.98,1482,321.46
CBG00749,Kota Besar,Kalimantan,6148,8,20,6,451.0,20,7.5,456,9996,4.71,8744,281.28
CBG02024,Kota Kecil,Jawa Barat,3674,5,17,3,370.0,5,7.7,267,5890,3.78,4806,186.58
CBG01651,Kota Besar,Indonesia Timur,7982,10,26,5,418.0,14,8.3,564,12363,3.94,4075,315.25
CBG01773,Kota Kecil,Kalimantan,3297,4,13,4,373.0,40,7.7,181,3978,4.59,8529,214.19
CBG02366,Kota Kecil,Jawa Tengah,8541,7,26,5,554.0,26,8.0,606,13333,3.33,2244,319.56
CBG01590,Kota Besar,Kalimantan,5819,6,19,4,372.0,38,7.9,403,8837,4.06,2776,261.97
CBG00088,Kota Besar,Sumatera,4943,4,13,4,319.0,19,7.5,292,6416,4.74,5133,219.55
CBG02911,Kota Besar,Jawa Barat,5532,6,19,6,315.0,5,7.0,426,9363,4.19,8057,245.0
CBG01319,Kota Besar,Jawa Tengah,9482,11,30,6,492.0,44,7.4,654,14493,4.94,1943,335.98
CBG00528,Kota Kecil,Jawa Tengah,7674,8,23,4,,3,9.3,446,9784,4.42,7359,286.16
CBG01456,Kota Kecil,Kalimantan,4009,5,16,3,362.0,31,7.9,275,6049,3.93,2218,215.33
CBG00633,Kota Kecil,Sumatera,350,4,16,2,106.0,40,9.6,63,1402,4.32,8895,125.27
CBG02385,Metro,Jawa Barat,11015,11,33,9,552.0,18,8.0,726,16024,4.27,5579,403.65
CBG02861,Kota Besar,Sumatera,7394,7,20,4,406.0,20,8.3,451,9869,3.64,2483,291.93
CBG00946,Kota Besar,Indonesia Timur,5946,6,17,5,343.0,32,8.3,474,10331,4.67,8989,275.56
CBG02219,Kota Kecil,Jawa Tengah,6509,8,21,5,430.0,15,7.7,411,9060,5.0,1041,273.99
CBG00604,Kota Kecil,Indonesia Timur,6061,7,25,6,298.0,17,9.9,427,9400,3.49,4127,323.2
CBG02440,Kota Kecil,Kalimantan,2954,5,11,2,,40,8.9,224,4973,4.1,4204,188.52
CBG01960,Kota Kecil,Sumatera,4964,4,17,4,221.0,18,7.1,382,8389,3.71,7367,223.48
CBG00665,Kota Kecil,Kalimantan,6328,7,17,5,349.0,17,7.9,423,9337,3.99,7454,256.29
CBG02644,Kota Kecil,Jawa Barat,5013,7,19,5,220.0,29,9.9,321,7035,4.02,1743,250.48
CBG02408,Kota Besar,Jawa Barat,4497,5,14,2,323.0,33,6.6,308,6728,3.73,4741,229.53
CBG00524,Kota Besar,Jawa Timur,3704,6,14,1,339.0,19,7.3,248,5478,4.1,5510,214.93
CBG00842,Kota Kecil,Sumatera,1091,4,17,2,158.0,44,6.4,217,4800,4.57,5771,128.23
CBG01950,Kota Besar,Jawa Tengah,5691,7,23,3,318.0,37,7.8,341,7487,4.57,7093,268.64
CBG01391,Kota Kecil,Jawa Barat,6119,5,19,3,316.0,1,10.0,388,8556,4.0,2234,250.17
CBG01135,Kota Besar,Jawa Tengah,3768,4,16,2,358.0,9,7.1,292,6466,4.15,3842,199.26
CBG00401,Kota Kecil,Indonesia Timur,3326,7,20,5,281.0,5,8.0,222,4901,4.53,5947,196.49
CBG00227,Kota Besar,Jawa Tengah,7423,9,23,5,321.0,12,7.6,593,13035,3.88,7391,280.31
CBG01117,Kota Kecil,Jawa Barat,2612,4,14,3,183.0,8,6.7,245,5404,3.76,2600,151.19
CBG00799,Metro,Indonesia Timur,8342,10,29,5,,27,9.3,555,12191,,3548,354.39
CBG01353,Metro,Sulawesi,11250,11,28,4,646.0,42,8.8,660,14456,3.68,5899,405.72
CBG00758,Kota Kecil,Sulawesi,3131,5,17,2,283.0,23,7.1,138,3041,3.48,4717,184.94
CBG02200,Kota Kecil,Jawa Tengah,1175,2,9,3,347.0,38,8.9,135,2947,4.1,8131,143.1
CBG02497,Kota Besar,Indonesia Timur,3768,7,23,4,,37,7.7,267,5830,3.57,4037,238.05
CBG01287,Kota Besar,Jawa Tengah,4122,6,13,4,,33,7.7,269,5930,4.39,2199,234.3
CBG02635,Metro,Jawa Barat,9908,9,21,6,491.0,33,8.5,577,12595,4.77,5241,356.58
CBG02722,Kota Kecil,Jawa Barat,1414,2,8,1,90.0,2,7.2,152,3352,4.8,4307,103.07
CBG02419,Metro,Sumatera,7352,9,27,6,370.0,35,7.5,482,10546,4.07,2237,322.84
CBG00768,Metro,Jawa Timur,6056,7,20,2,321.0,22,8.7,422,9294,3.61,3654,294.73
CBG00428,Kota Besar,Kalimantan,6430,9,26,4,474.0,40,7.4,438,9664,4.53,6420,301.18
CBG02916,Metro,Jawa Barat,8799,9,22,4,578.0,43,6.8,602,13191,4.51,8461,354.61
CBG01333,Kota Besar,Kalimantan,3780,3,12,4,426.0,18,8.3,299,6586,4.04,9660,246.46
CBG01627,Kota Besar,Sumatera,6364,7,21,3,487.0,39,7.3,429,9476,4.58,1910,291.81
CBG00027,Kota Kecil,Jawa Tengah,4287,6,24,4,500.0,8,7.4,317,7009,4.12,5008,218.3
CBG00718,Kota Kecil,Sulawesi,7038,8,24,4,420.0,3,7.9,540,11863,4.52,7313,266.6
CBG00025,Kota Kecil,Sumatera,5101,6,17,4,486.0,42,7.8,398,8763,4.7,8350,263.27
CBG02277,Kota Kecil,Sumatera,4571,5,15,4,256.0,18,7.4,258,5670,4.45,7550,199.05
CBG02133,Metro,Sulawesi,7234,9,23,3,478.0,43,9.0,398,8695,3.99,1585,347.56
CBG01553,Kota Besar,Sumatera,7333,7,22,7,395.0,12,9.2,426,9333,4.42,1763,287.4
CBG00001,Kota Kecil,Kalimantan,1918,5,16,2,284.0,4,8.3,200,4432,4.66,3035,206.19
CBG01793,Kota Kecil,Jawa Tengah,1282,3,9,2,197.0,17,7.2,100,2202,3.88,7867,123.18
CBG00864,Kota Besar,Jawa Timur,2732,3,15,3,294.0,34,8.3,237,5219,3.71,9090,197.7
CBG00061,Kota Besar,Kalimantan,9633,12,32,6,514.0,35,8.7,651,14366,4.23,7020,352.09
CBG01545,Metro,Jawa Tengah,4528,3,17,4,256.0,8,7.8,312,6831,4.86,9318,224.21
CBG02714,Kota Kecil,Indonesia Timur,5126,6,22,2,310.0,44,7.3,354,7790,3.81,4074,261.99
CBG01683,Kota Kecil,Sumatera,4763,4,17,3,306.0,30,8.5,256,5602,3.46,4716,230.63
CBG01338,Metro,Jawa Barat,9544,10,26,5,353.0,45,6.3,679,14922,3.55,1068,361.07
CBG01962,Metro,Sumatera,7979,10,27,5,381.0,7,8.6,557,12360,4.74,2463,335.48
CBG01454,Metro,Indonesia Timur,8653,11,30,5,341.0,5,8.0,567,12515,3.78,8749,335.29
CBG02841,Kota Besar,Jawa Timur,3763,8,23,2,379.0,39,8.6,247,5425,4.53,2912,252.64
CBG02998,Kota Kecil,Sumatera,1212,2,10,1,144.0,28,7.3,47,1039,3.43,7825,121.56
CBG01372,Metro,Jawa Barat,8501,9,23,6,477.0,11,9.3,568,12463,4.32,6891,336.19
CBG01560,Kota Kecil,Jawa Barat,1729,6,17,1,366.0,38,6.9,175,3841,3.83,2541,172.28
CBG00667,Kota Kecil,Jawa Barat,2738,5,15,3,339.0,28,8.8,222,4872,4.05,2255,182.81
CBG00705,Kota Besar,Jawa Barat,8747,8,20,5,544.0,41,9.0,667,14664,5.0,5859,335.89
CBG01172,Kota Kecil,Sulawesi,5957,6,18,3,393.0,11,9.2,453,9934,3.79,6946,250.74
CBG00242,Kota Besar,Jawa Timur,3620,8,26,2,265.0,1,7.0,246,5371,4.13,2358,198.21
CBG02160,Kota Besar,Sumatera,6627,6,17,4,356.0,5,7.3,465,10354,3.46,9502,265.92
CBG01786,Kota Kecil,Kalimantan,1077,3,11,2,235.0,25,8.8,117,2575,3.7,1503,136.8
CBG00132,Kota Besar,Kalimantan,9930,10,27,5,507.0,25,7.8,703,15460,4.7,1789,350.05
CBG01620,Kota Besar,Jawa Timur,4346,4,12,3,370.0,12,8.6,247,5426,3.62,4160,221.09
CBG00841,Kota Besar,Jawa Barat,4631,6,20,3,443.0,37,8.2,331,7293,3.92,7372,272.57
CBG02507,Kota Besar,Indonesia Timur,2710,2,7,2,251.0,27,9.5,169,3700,4.1,7112,180.1
CBG00195,Kota Besar,Jawa Barat,4773,6,17,2,294.0,42,7.9,349,7666,,2856,256.47
CBG02064,Kota Kecil,Jawa Tengah,2319,2,8,1,316.0,24,7.3,190,4169,4.56,1544,142.4
CBG01752,Metro,Jawa Tengah,9490,8,20,5,422.0,37,6.9,599,13201,4.54,3160,338.32
CBG01488,Kota Kecil,Kalimantan,5500,6,18,5,353.0,9,7.2,339,7439,3.94,4054,252.18
CBG01762,Kota Besar,Jawa Tengah,5097,7,22,4,309.0,21,8.7,371,8178,4.96,1156,260.15
CBG00451,Kota Kecil,Jawa Tengah,3613,4,13,1,224.0,10,8.6,167,3679,3.42,5515,185.5
CBG00171,Kota Besar,Jawa Timur,3841,4,11,3,245.0,4,7.7,282,6180,3.02,3041,190.68
CBG01966,Kota Besar,Sulawesi,5524,9,26,5,,8,7.6,329,7202,3.78,8035,263.65
CBG01771,Metro,Jawa Tengah,9173,11,30,4,642.0,13,7.7,666,14775,3.76,1114,347.41
CBG02028,Metro,Sumatera,11288,12,31,8,511.0,44,9.2,689,15344,4.76,2115,395.77
CBG01685,Metro,Sumatera,12286,13,35,4,568.0,1,8.9,752,16551,4.13,7776,385.65
CBG01337,Metro,Jawa Timur,9770,10,27,6,427.0,41,7.7,673,14826,3.97,7285,373.16
CBG00514,Kota Besar,Kalimantan,7063,6,21,5,428.0,2,9.5,498,11056,3.99,5145,284.34
CBG00220,Metro,Jawa Tengah,9544,10,28,6,317.0,42,8.0,662,14576,5.0,8286,352.61
CBG02918,Kota Kecil,Sulawesi,2833,3,13,4,279.0,30,8.7,230,5077,2.74,2434,173.5
CBG01229,Metro,Jawa Tengah,10042,11,27,5,417.0,13,7.4,609,13343,4.95,3452,346.47
CBG02576,Kota Besar,Kalimantan,8750,11,28,7,585.0,18,8.1,618,13654,4.3,8027,352.26
CBG01754,Kota Besar,Jawa Timur,6661,6,13,5,444.0,9,7.0,449,9836,4.14,8018,268.45
CBG00597,Metro,Jawa Barat,9310,9,24,5,544.0,40,7.7,572,12657,3.18,8609,369.43
CBG01237,Metro,Jawa Barat,3458,7,21,3,252.0,39,7.7,265,5850,2.72,8601,244.54
CBG01068,Kota Kecil,Sulawesi,2651,2,9,3,,26,8.3,171,3765,4.16,8619,175.03
CBG00503,Kota Kecil,Jawa Barat,8472,9,25,5,557.0,9,9.4,605,13259,4.22,8568,318.59
CBG01675,Kota Besar,Jawa Tengah,5517,8,20,4,396.0,4,6.8,329,7328,3.34,2432,250.53
CBG00865,Metro,Indonesia Timur,10575,11,29,7,493.0,34,9.4,584,12707,5.0,2294,402.64
CBG01996,Kota Besar,Jawa Timur,3244,6,16,5,271.0,29,8.4,283,6259,2.64,1702,279.33
CBG02676,Kota Besar,Jawa Tengah,6147,5,12,5,,1,8.2,448,9860,4.68,6288,249.75
CBG02865,Kota Kecil,Jawa Tengah,4739,4,14,1,,38,7.1,292,6451,4.11,5885,209.72
CBG00652,Metro,Indonesia Timur,6424,4,17,4,397.0,21,8.1,423,9297,4.38,8450,294.81
CBG00548,Kota Kecil,Jawa Timur,6785,8,17,6,517.0,11,6.7,492,10811,4.29,5041,272.92
CBG01941,Kota Kecil,Jawa Tengah,2397,4,17,2,219.0,8,8.0,212,4680,4.65,2384,146.55
CBG02101,Metro,Jawa Barat,7937,8,27,6,453.0,26,7.7,569,12460,3.9,7702,353.15
CBG01922,Metro,Jawa Tengah,8180,10,25,5,433.0,17,7.4,568,12465,3.87,3251,324.87
CBG01224,Kota Kecil,Jawa Timur,5860,7,20,5,485.0,9,7.8,401,8746,3.29,8601,241.18
CBG02764,Kota Besar,Jawa Tengah,2007,5,20,5,214.0,25,6.1,150,3290,,7638,173.27
CBG00486,Kota Besar,Jawa Tengah,7602,11,32,5,385.0,26,6.5,494,10875,4.48,5881,306.67
CBG02856,Metro,Jawa Tengah,8928,9,27,6,424.0,32,8.4,569,12556,3.59,7281,353.48
CBG02623,Kota Besar,Indonesia Timur,4629,4,12,3,220.0,17,8.5,363,7936,4.5,9749,222.44
CBG00254,Kota Kecil,Kalimantan,4277,6,18,2,258.0,22,7.7,302,6602,4.57,5742,216.03
CBG02511,Kota Kecil,Indonesia Timur,3085,5,17,2,304.0,11,8.4,158,3482,4.14,7752,236.3
CBG00296,Kota Kecil,Jawa Barat,4269,4,17,4,,25,7.6,255,5624,4.37,3713,248.41
CBG02218,Kota Besar,Sumatera,6114,8,28,4,431.0,26,10.0,395,8697,3.81,9637,290.88
CBG01975,Kota Kecil,Jawa Barat,7239,8,20,4,394.0,28,7.6,509,11168,3.87,5413,290.97
CBG01402,Kota Besar,Sumatera,6233,6,17,3,503.0,36,8.7,459,10137,3.71,9990,279.36
CBG02513,Kota Besar,Jawa Barat,4585,4,12,3,424.0,23,6.6,294,6509,3.72,3621,225.01
CBG01525,Kota Kecil,Kalimantan,4992,4,12,2,90.0,1,8.3,407,8879,3.85,9341,202.92
CBG02394,Kota Besar,Jawa Timur,3676,3,13,4,320.0,19,6.9,227,5006,3.9,7509,215.67
CBG02925,Kota Kecil,Sumatera,4281,7,21,1,238.0,16,9.1,275,6063,3.92,5491,222.67
CBG00641,Kota Kecil,Jawa Tengah,2627,4,19,2,159.0,2,7.3,175,3854,5.0,1949,189.47
CBG00329,Kota Besar,Jawa Timur,7516,8,22,4,526.0,31,8.2,457,10100,4.06,3836,386.32
CBG00271,Kota Kecil,Indonesia Timur,5687,7,17,3,381.0,24,7.1,462,10188,3.9,7395,257.12
CBG00302,Kota Besar,Sumatera,9186,10,30,6,571.0,17,8.2,595,13089,4.41,5106,341.42
CBG00366,Metro,Indonesia Timur,7447,10,24,3,377.0,13,9.2,494,10892,4.54,5383,331.18
CBG00741,Metro,Kalimantan,9691,10,24,5,506.0,18,8.4,674,14879,3.48,6454,364.66
CBG02853,Kota Kecil,Sumatera,2344,3,11,1,319.0,25,7.0,236,5241,4.32,9782,150.75
CBG01422,Metro,Sumatera,10925,11,25,7,502.0,43,8.6,719,15830,4.35,1004,384.79
CBG02579,Kota Kecil,Indonesia Timur,5209,8,21,4,323.0,41,8.8,416,9094,4.1,8545,280.07
CBG02072,Kota Kecil,Jawa Tengah,350,2,9,2,222.0,14,6.2,152,3355,4.32,7846,87.58
CBG00670,Kota Besar,Sumatera,6533,9,24,2,404.0,40,8.9,517,11334,5.0,4132,292.85
CBG02095,Kota Kecil,Jawa Timur,4713,7,22,2,297.0,20,6.8,337,7398,3.5,2241,221.7
CBG00111,Kota Kecil,Sulawesi,3368,6,18,2,228.0,38,6.5,283,6228,2.93,4014,193.46
CBG02689,Kota Kecil,Jawa Barat,5392,7,18,3,496.0,37,7.5,366,8067,4.38,2370,260.01
CBG02990,Kota Besar,Jawa Tengah,3515,4,15,3,392.0,12,8.2,294,6473,3.44,3929,204.22
CBG00743,Kota Besar,Jawa Barat,8733,9,26,4,385.0,42,8.4,710,15523,3.65,7331,340.39
CBG00650,Metro,Sulawesi,8742,9,24,5,,45,6.7,562,12375,3.82,4199,382.36
CBG02553,Kota Besar,Sumatera,6416,6,20,6,271.0,12,8.6,367,8019,3.22,7625,267.45
CBG00192,Kota Besar,Jawa Tengah,3996,5,21,4,287.0,22,8.2,348,7662,4.53,7603,230.73
CBG00639,Metro,Jawa Timur,13450,15,40,7,625.0,27,7.7,830,18246,4.54,5326,411.96
CBG00080,Kota Kecil,Sumatera,1638,5,16,2,109.0,42,7.4,192,4221,3.35,2026,145.11
CBG00898,Kota Besar,Sulawesi,9895,9,23,6,463.0,19,7.4,819,18031,4.61,7002,333.08
CBG02177,Kota Kecil,Sumatera,2867,4,14,3,156.0,33,6.9,248,5452,3.44,1683,173.77
CBG02157,Kota Besar,Jawa Timur,4961,7,21,2,318.0,17,6.2,314,6906,3.12,4098,247.06
CBG01471,Kota Kecil,Jawa Timur,7181,8,20,4,368.0,31,8.1,593,13032,4.79,8247,287.79
CBG02608,Kota Besar,Kalimantan,3385,4,15,3,328.0,39,9.0,202,4421,3.69,6628,227.4
CBG01797,Kota Kecil,Jawa Barat,3936,6,17,3,182.0,24,6.9,273,6007,4.32,3341,200.97
CBG00292,Metro,Sulawesi,10297,11,32,5,543.0,2,7.5,637,14054,4.63,1206,363.43
CBG01730,Kota Besar,Jawa Barat,8543,7,22,6,453.0,23,8.8,590,13029,3.8,8991,324.2
CBG02701,Metro,Jawa Barat,9215,9,26,7,569.0,24,8.0,635,14025,3.67,3878,360.7
CBG01981,Kota Kecil,Indonesia Timur,7227,11,29,6,561.0,30,6.9,415,9148,3.83,2983,327.77
CBG01503,Kota Kecil,Jawa Timur,8828,9,26,5,574.0,33,7.0,644,14039,4.29,8070,315.37
CBG00339,Kota Besar,Jawa Timur,5916,3,10,3,354.0,6,7.8,351,7701,3.78,4123,243.9
CBG01252,Kota Kecil,Sulawesi,5198,5,14,2,302.0,1,7.1,381,8341,4.19,5887,201.01
CBG01314,Kota Besar,Indonesia Timur,2242,3,14,2,386.0,36,8.1,125,2761,3.95,6648,198.08
CBG02907,Kota Kecil,Indonesia Timur,1377,3,11,3,186.0,29,9.6,103,2263,4.3,9436,153.89
CBG02927,Kota Kecil,Indonesia Timur,1257,2,13,3,223.0,14,7.3,39,861,4.62,3012,114.7
CBG02270,Kota Kecil,Jawa Barat,6468,5,19,5,395.0,43,6.0,349,7696,4.7,9211,260.63
CBG00930,Kota Besar,Jawa Barat,6247,7,21,5,281.0,5,7.2,380,8419,4.04,6197,253.51
CBG01465,Metro,Jawa Barat,6707,4,18,4,357.0,15,6.3,476,10584,3.68,7968,272.4
CBG02032,Metro,Jawa Tengah,4475,6,20,3,,24,9.7,324,7169,3.84,2105,254.87
CBG02203,Kota Kecil,Indonesia Timur,1570,4,13,4,191.0,10,6.8,89,1985,3.56,1416,151.47
CBG02287,Kota Kecil,Kalimantan,4528,7,18,1,281.0,31,8.8,323,7143,3.57,7329,227.5
CBG00375,Kota Kecil,Jawa Barat,3328,5,14,3,279.0,27,7.8,331,7298,4.48,6108,196.22
CBG01442,Kota Besar,Jawa Barat,3534,6,15,1,,38,7.6,238,5227,4.23,3716,229.31
CBG00994,Metro,Kalimantan,8186,10,20,5,436.0,13,8.5,605,13421,4.13,4413,330.63
CBG02054,Kota Besar,Jawa Timur,8031,8,22,5,468.0,26,7.2,515,11298,3.55,9547,320.41
CBG00359,Kota Kecil,Jawa Barat,5919,5,16,5,352.0,24,8.9,449,9891,4.14,5968,257.36
CBG01306,Kota Kecil,Jawa Tengah,4615,5,19,2,158.0,14,6.8,319,7092,3.89,7129,201.79
CBG02498,Kota Besar,Sumatera,5822,7,19,3,468.0,20,7.4,263,5743,3.4,8636,267.75
CBG00445,Kota Kecil,Jawa Barat,4465,5,13,4,,23,8.6,378,8320,4.48,1220,215.23
CBG00363,Kota Kecil,Jawa Tengah,2644,6,16,2,324.0,45,7.0,112,2472,3.47,1254,188.71
